Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product, Price_per_Unit ,Units_Sold, Total_Sales , Operating_Profit ,Sales_Method
Sports Direct,1197831,2020-08-04,South,Texas,Houston,Mens Apparel,45,5000,225000,67500,Outlet
Sports Direct,1197831,2020-08-05,South,Texas,Houston,Womens Apparel,40,6500,260000,130000,Outlet
Sports Direct,1197831,2020-08-06,South,Texas,Houston,Mens Street Footwear,30,9000,270000,94500,Outlet
Sports Direct,1197831,2020-08-07,South,Texas,Houston,Mens Athletic Footwear,40,9000,360000,126000,Outlet
Sports Direct,1197831,2020-08-08,South,Texas,Houston,Womens Street Footwear,35,7250,253750,88813,Outlet
Sports Direct,1197831,2020-08-09,South,Texas,Houston,Womens Athletic Footwear,40,6250,250000,112500,Outlet
Walmart,1197831,2020-08-10,South,Texas,Houston,Mens Apparel,45,5250,236250,70875,Outlet
Walmart,1197831,2020-08-11,South,Texas,Houston,Womens Apparel,40,8000,320000,160000,Outlet
Walmart,1197831,2020-08-12,South,Texas,Houston,Mens Street Footwear,30,9250,277500,97125,Outlet
Walmart,1197831,2020-08-13,South,Texas,Houston,Mens Athletic Footwear,40,9250,370000,129500,Outlet
Walmart,1197831,2020-08-14,South,Texas,Houston,Womens Street Footwear,35,7750,271250,94938,Outlet
Walmart,1197831,2020-08-15,South,Texas,Houston,Womens Athletic Footwear,40,7000,280000,126000,Outlet
Walmart,1197831,2020-08-16,South,Texas,Houston,Mens Apparel,45,6000,270000,81000,Outlet
Walmart,1197831,2020-08-17,South,Texas,Houston,Womens Apparel,40,9500,380000,190000,Outlet
Walmart,1197831,2020-08-18,South,Texas,Houston,Mens Street Footwear,40,9500,380000,133000,Outlet
Walmart,1197831,2020-08-19,South,Texas,Houston,Mens Athletic Footwear,45,9500,427500,149625,Outlet
Walmart,1197831,2020-08-20,South,Texas,Houston,Womens Street Footwear,40,8000,320000,112000,Outlet
Walmart,1197831,2020-08-21,South,Texas,Houston,Womens Athletic Footwear,40,7500,300000,135000,Outlet
Walmart,1197831,2020-08-22,South,Texas,Houston,Mens Apparel,45,6500,292500,87750,Outlet
Walmart,1197831,2020-08-23,South,Texas,Houston,Womens Apparel,50,10000,500000,250000,Outlet
Walmart,1197831,2020-08-24,South,Texas,Houston,Mens Street Footwear,40,9500,380000,133000,Outlet
Walmart,1197831,2020-08-25,South,Texas,Houston,Mens Athletic Footwear,45,9500,427500,149625,Outlet
Walmart,1197831,2020-08-26,South,Texas,Houston,Womens Street Footwear,40,11000,440000,154000,Outlet
Walmart,1197831,2020-08-27,South,Texas,Houston,Womens Athletic Footwear,40,7000,280000,126000,Outlet
Walmart,1197831,2020-08-28,South,Texas,Houston,Mens Apparel,45,7000,315000,94500,Outlet
Walmart,1197831,2020-08-29,South,Texas,Houston,Womens Apparel,50,9750,487500,243750,Outlet
Walmart,1197831,2020-08-30,South,Texas,Houston,Mens Street Footwear,40,9250,370000,129500,Outlet
Walmart,1197831,2020-08-31,South,Texas,Houston,Mens Athletic Footwear,45,9250,416250,145688,Outlet
Walmart,1197831,2020-09-01,South,Texas,Houston,Womens Street Footwear,40,11000,440000,154000,Outlet
Walmart,1197831,2020-09-02,South,Texas,Houston,Womens Athletic Footwear,40,6500,260000,117000,Outlet
Walmart,1197831,2020-09-03,South,Texas,Houston,Mens Apparel,45,6500,292500,87750,Outlet
Walmart,1197831,2020-09-04,South,Texas,Houston,Womens Apparel,50,9000,450000,225000,Outlet
Walmart,1197831,2020-09-05,South,Texas,Houston,Mens Street Footwear,45,8500,382500,133875,Outlet
Walmart,1197831,2020-09-06,South,Texas,Houston,Mens Athletic Footwear,45,8500,382500,133875,Outlet
Walmart,1197831,2020-09-07,South,Texas,Houston,Womens Street Footwear,50,9000,450000,157500,Outlet
Walmart,1197831,2020-09-08,South,Texas,Houston,Womens Athletic Footwear,50,6250,312500,140625,Outlet
Walmart,1197831,2020-09-09,South,Texas,Houston,Mens Apparel,45,6250,281250,84375,Outlet
Walmart,1197831,2020-09-10,South,Texas,Houston,Womens Apparel,55,8500,467500,233750,Outlet
Walmart,1197831,2020-09-11,South,Texas,Houston,Mens Street Footwear,45,8000,360000,126000,Outlet
Walmart,1197831,2020-09-12,South,Texas,Houston,Mens Athletic Footwear,45,8000,360000,126000,Outlet
Walmart,1197831,2020-09-13,South,Texas,Houston,Womens Street Footwear,50,7500,375000,131250,Outlet
Walmart,1197831,2020-09-14,South,Texas,Houston,Womens Athletic Footwear,50,6000,300000,135000,Outlet
Walmart,1197831,2020-09-15,South,Texas,Houston,Mens Apparel,45,5750,258750,77625,Outlet
Walmart,1197831,2020-09-16,South,Texas,Houston,Womens Apparel,55,7500,412500,206250,Outlet
Walmart,1197831,2020-10-20,South,Texas,Houston,Mens Street Footwear,45,9000,405000,141750,Outlet
Walmart,1197831,2020-10-21,South,Texas,Houston,Mens Athletic Footwear,45,9000,405000,141750,Outlet
Walmart,1197831,2020-10-22,South,Texas,Houston,Womens Street Footwear,50,8250,412500,144375,Outlet
Walmart,1197831,2020-10-23,South,Texas,Houston,Womens Athletic Footwear,50,6750,337500,151875,Outlet
Walmart,1197831,2020-10-24,South,Texas,Houston,Mens Apparel,45,6500,292500,87750,Outlet
Walmart,1197831,2020-10-25,South,Texas,Houston,Womens Apparel,55,8500,467500,233750,Outlet
Walmart,1197831,2020-10-26,South,Texas,Houston,Mens Street Footwear,45,9500,427500,149625,Outlet
Walmart,1197831,2020-10-27,South,Texas,Houston,Mens Athletic Footwear,45,9500,427500,149625,Outlet
Walmart,1197831,2020-10-28,South,Texas,Houston,Womens Street Footwear,50,8500,425000,148750,Outlet
Walmart,1197831,2020-10-29,South,Texas,Houston,Womens Athletic Footwear,50,7000,350000,157500,Outlet
Walmart,1197831,2020-10-30,South,Texas,Houston,Mens Apparel,45,6500,292500,87750,Outlet
Walmart,1197831,2020-10-31,South,Texas,Houston,Womens Apparel,55,9000,495000,247500,Outlet
West Gear,1128299,2020-11-01,South,Texas,Houston,Mens Street Footwear,40,7750,310000,108500,Outlet
West Gear,1128299,2020-11-02,South,Texas,Houston,Mens Athletic Footwear,50,7750,387500,77500,Outlet
West Gear,1128299,2020-11-03,South,Texas,Houston,Womens Street Footwear,50,7750,387500,135625,Outlet
West Gear,1128299,2020-11-04,South,Texas,Houston,Womens Athletic Footwear,50,6250,312500,93750,Outlet
West Gear,1128299,2020-11-05,West,California,San Francisco,Mens Apparel,55,5750,316250,158125,Outlet
West Gear,1128299,2020-11-06,West,California,San Francisco,Womens Apparel,50,7750,387500,58125,Outlet
West Gear,1128299,2020-11-07,West,California,San Francisco,Mens Street Footwear,40,8250,330000,115500,Outlet
West Gear,1128299,2020-11-08,West,California,San Francisco,Mens Athletic Footwear,50,7250,362500,72500,Outlet
West Gear,1128299,2020-11-09,West,California,San Francisco,Womens Street Footwear,50,7250,362500,126875,Outlet
West Gear,1128299,2020-11-10,West,California,San Francisco,Womens Athletic Footwear,50,5750,287500,86250,Outlet
West Gear,1128299,2020-11-11,West,California,San Francisco,Mens Apparel,55,5000,275000,137500,Outlet
West Gear,1128299,2020-11-12,West,California,San Francisco,Womens Apparel,50,7000,350000,52500,Outlet
West Gear,1128299,2020-11-13,West,California,San Francisco,Mens Street Footwear,50,8500,425000,148750,Outlet
West Gear,1128299,2020-11-14,West,California,San Francisco,Mens Athletic Footwear,60,7000,420000,84000,Outlet
West Gear,1128299,2020-11-15,West,California,San Francisco,Womens Street Footwear,60,7000,420000,147000,Outlet
West Gear,1128299,2020-12-22,West,California,San Francisco,Womens Athletic Footwear,60,6000,360000,108000,Outlet
West Gear,1128299,2020-12-23,West,California,San Francisco,Mens Apparel,65,5000,325000,162500,Outlet
West Gear,1128299,2020-12-24,West,California,San Francisco,Womens Apparel,60,7000,420000,63000,Outlet
West Gear,1128299,2020-12-25,West,California,San Francisco,Mens Street Footwear,60,8750,525000,183750,Outlet
West Gear,1128299,2020-12-26,West,California,San Francisco,Mens Athletic Footwear,65,6750,438750,87750,Outlet
West Gear,1128299,2020-12-27,West,California,San Francisco,Womens Street Footwear,65,7250,471250,164938,Outlet
West Gear,1128299,2020-12-28,West,California,San Francisco,Womens Athletic Footwear,60,6250,375000,112500,Outlet
West Gear,1128299,2020-12-29,West,California,San Francisco,Mens Apparel,65,5250,341250,170625,Outlet
West Gear,1128299,2020-12-30,West,California,San Francisco,Womens Apparel,80,7000,560000,84000,Outlet
West Gear,1128299,2020-12-31,West,California,San Francisco,Mens Street Footwear,60,9000,540000,216000,Outlet
West Gear,1128299,2021-01-01,West,California,San Francisco,Mens Athletic Footwear,65,7500,487500,121875,Outlet
West Gear,1128299,2021-01-02,West,California,San Francisco,Womens Street Footwear,65,7500,487500,195000,Outlet
West Gear,1128299,2021-01-03,West,California,San Francisco,Womens Athletic Footwear,60,6500,390000,136500,Outlet
West Gear,1128299,2021-01-04,West,California,San Francisco,Mens Apparel,65,5500,357500,196625,Outlet
West Gear,1128299,2021-01-05,West,California,San Francisco,Womens Apparel,80,7250,580000,116000,Outlet
West Gear,1128299,2021-01-06,West,California,San Francisco,Mens Street Footwear,60,9750,585000,234000,Outlet
West Gear,1128299,2021-01-07,West,California,San Francisco,Mens Athletic Footwear,65,8250,536250,134063,Outlet
West Gear,1128299,2021-01-08,West,California,San Francisco,Womens Street Footwear,65,8250,536250,214500,Outlet
West Gear,1128299,2021-01-09,West,California,San Francisco,Womens Athletic Footwear,60,7000,420000,147000,Outlet
West Gear,1128299,2021-01-10,West,California,San Francisco,Mens Apparel,65,5750,373750,205563,Outlet
West Gear,1128299,2021-01-11,West,California,San Francisco,Womens Apparel,80,8750,700000,140000,Outlet
West Gear,1128299,2021-01-12,West,California,San Francisco,Mens Street Footwear,60,10250,615000,215250,Outlet
West Gear,1128299,2021-01-13,West,California,San Francisco,Mens Athletic Footwear,65,8750,568750,113750,Outlet
West Gear,1128299,2021-01-14,West,California,San Francisco,Womens Street Footwear,65,8250,536250,187688,Outlet
West Gear,1128299,2021-01-15,West,California,San Francisco,Womens Athletic Footwear,60,7250,435000,130500,Outlet
West Gear,1128299,2021-01-16,West,California,San Francisco,Mens Apparel,65,7750,503750,251875,Outlet
West Gear,1128299,2021-01-17,West,California,San Francisco,Womens Apparel,80,7750,620000,93000,Outlet
West Gear,1128299,2021-01-18,West,California,San Francisco,Mens Street Footwear,65,9750,633750,221813,Outlet
West Gear,1128299,2021-01-19,West,California,San Francisco,Mens Athletic Footwear,70,9250,647500,129500,Outlet
West Gear,1128299,2021-01-20,West,California,San Francisco,Womens Street Footwear,65,8000,520000,182000,Outlet
West Gear,1128299,2021-01-21,West,California,San Francisco,Womens Athletic Footwear,65,7500,487500,146250,Outlet
West Gear,1128299,2021-01-22,West,California,San Francisco,Mens Apparel,75,7500,562500,281250,Outlet
West Gear,1128299,2021-01-23,West,California,San Francisco,Womens Apparel,80,7250,580000,87000,Outlet
West Gear,1128299,2021-01-24,West,California,San Francisco,Mens Street Footwear,55,9250,508750,152625,Outlet
West Gear,1128299,2021-01-25,West,California,San Francisco,Mens Athletic Footwear,60,9250,555000,83250,Outlet
West Gear,1128299,2021-01-26,West,California,San Francisco,Womens Street Footwear,55,7750,426250,127875,Outlet
West Gear,1128299,2021-01-27,West,California,San Francisco,Womens Athletic Footwear,55,7250,398750,99688,Outlet
West Gear,1128299,2021-01-28,West,California,San Francisco,Mens Apparel,65,7250,471250,212063,Outlet
West Gear,1128299,2021-01-29,West,California,San Francisco,Womens Apparel,70,7750,542500,54250,Outlet
West Gear,1128299,2021-01-30,West,California,San Francisco,Mens Street Footwear,55,8750,481250,144375,Outlet
West Gear,1128299,2021-01-31,West,California,San Francisco,Mens Athletic Footwear,60,8750,525000,78750,Outlet
West Gear,1128299,2021-02-01,West,California,San Francisco,Womens Street Footwear,55,7000,385000,115500,Outlet
West Gear,1128299,2021-02-02,West,California,San Francisco,Womens Athletic Footwear,55,6750,371250,92813,Outlet
West Gear,1128299,2021-02-03,West,California,San Francisco,Mens Apparel,65,6500,422500,190125,Outlet
West Gear,1128299,2021-02-04,West,California,San Francisco,Womens Apparel,70,7000,490000,49000,Outlet
West Gear,1128299,2021-02-05,West,California,San Francisco,Mens Street Footwear,55,8750,481250,144375,Outlet
West Gear,1128299,2021-02-06,West,California,San Francisco,Mens Athletic Footwear,60,8750,525000,78750,Outlet
West Gear,1128299,2021-02-07,West,California,San Francisco,Womens Street Footwear,55,7250,398750,119625,Outlet
West Gear,1128299,2021-02-08,West,California,San Francisco,Womens Athletic Footwear,55,7000,385000,96250,Outlet
West Gear,1128299,2021-02-09,West,California,San Francisco,Mens Apparel,65,6500,422500,190125,Outlet
West Gear,1128299,2021-02-10,West,California,San Francisco,Womens Apparel,70,7750,542500,54250,Outlet
West Gear,1128299,2021-02-11,West,California,San Francisco,Mens Street Footwear,55,9750,536250,160875,Outlet
West Gear,1128299,2021-02-12,West,California,San Francisco,Mens Athletic Footwear,60,9750,585000,87750,Outlet
West Gear,1128299,2021-02-13,West,California,San Francisco,Womens Street Footwear,55,7750,426250,127875,Outlet
West Gear,1128299,2021-02-14,West,California,San Francisco,Womens Athletic Footwear,55,7750,426250,106563,Outlet
West Gear,1128299,2021-02-15,West,California,San Francisco,Mens Apparel,65,7000,455000,204750,Outlet
West Gear,1128299,2021-02-16,West,California,San Francisco,Womens Apparel,70,8000,560000,56000,Outlet
Kohls,1189833,2021-02-17,West,California,San Francisco,Mens Street Footwear,35,7000,245000,98000,Outlet
Kohls,1189833,2021-02-18,West,California,San Francisco,Mens Athletic Footwear,45,7000,315000,78750,Outlet
Kohls,1189833,2021-03-09,West,California,San Francisco,Womens Street Footwear,45,7000,315000,126000,Outlet
Kohls,1189833,2021-03-10,West,California,San Francisco,Womens Athletic Footwear,45,5500,247500,86625,Outlet
Kohls,1189833,2021-03-11,West,California,Los Angeles,Mens Apparel,50,5000,250000,137500,Outlet
Kohls,1189833,2021-03-12,West,California,Los Angeles,Womens Apparel,45,7000,315000,63000,Outlet
Kohls,1189833,2021-03-13,West,California,Los Angeles,Mens Street Footwear,35,7500,262500,105000,Outlet
Kohls,1189833,2021-03-14,West,California,Los Angeles,Mens Athletic Footwear,45,6500,292500,73125,Outlet
Kohls,1189833,2021-03-15,West,California,Los Angeles,Womens Street Footwear,45,6750,303750,121500,Outlet
Kohls,1189833,2021-03-16,West,California,Los Angeles,Womens Athletic Footwear,45,5250,236250,82688,Outlet
Kohls,1189833,2021-03-17,West,California,Los Angeles,Mens Apparel,50,4500,225000,123750,Outlet
Kohls,1189833,2021-03-18,West,California,Los Angeles,Womens Apparel,45,6500,292500,58500,Outlet
Kohls,1189833,2021-03-19,West,California,Los Angeles,Mens Street Footwear,35,8000,280000,112000,Outlet
Kohls,1189833,2021-03-20,West,California,Los Angeles,Mens Athletic Footwear,45,6500,292500,73125,Outlet
Kohls,1189833,2021-03-21,West,California,Los Angeles,Womens Street Footwear,45,6500,292500,117000,Outlet
Kohls,1189833,2021-03-22,West,California,Los Angeles,Womens Athletic Footwear,45,5500,247500,86625,Outlet
Kohls,1189833,2021-03-23,West,California,Los Angeles,Mens Apparel,50,4250,212500,116875,Outlet
Kohls,1189833,2021-04-06,West,California,Los Angeles,Womens Apparel,45,6250,281250,56250,Outlet
Kohls,1189833,2021-04-07,West,California,Los Angeles,Mens Street Footwear,45,8000,360000,144000,Outlet
Kohls,1189833,2021-04-08,West,California,Los Angeles,Mens Athletic Footwear,50,6000,300000,75000,Outlet
Kohls,1189833,2021-04-09,West,California,Los Angeles,Womens Street Footwear,50,6250,312500,125000,Outlet
Kohls,1189833,2021-04-10,West,California,Los Angeles,Womens Athletic Footwear,45,5250,236250,82688,Outlet
Kohls,1189833,2021-04-11,West,California,Los Angeles,Mens Apparel,50,4250,212500,116875,Outlet
Kohls,1189833,2021-04-12,West,California,Los Angeles,Womens Apparel,65,6000,390000,78000,Outlet
Kohls,1189833,2021-04-13,West,California,Los Angeles,Mens Street Footwear,45,8000,360000,144000,Outlet
Kohls,1189833,2021-04-14,West,California,Los Angeles,Mens Athletic Footwear,50,6500,325000,81250,Outlet
Kohls,1189833,2021-04-15,West,California,Los Angeles,Womens Street Footwear,50,6500,325000,130000,Outlet
Kohls,1189833,2021-04-16,West,California,Los Angeles,Womens Athletic Footwear,45,5500,247500,86625,Outlet
Kohls,1189833,2021-04-17,West,California,Los Angeles,Mens Apparel,50,4500,225000,123750,Outlet
Kohls,1189833,2021-04-18,West,California,Los Angeles,Womens Apparel,65,6250,406250,81250,Outlet
Kohls,1189833,2021-04-19,West,California,Los Angeles,Mens Street Footwear,45,9000,405000,162000,Outlet
Kohls,1189833,2021-04-20,West,California,Los Angeles,Mens Athletic Footwear,50,7500,375000,93750,Outlet
Kohls,1189833,2021-04-21,West,California,Los Angeles,Womens Street Footwear,50,7500,375000,150000,Outlet
Kohls,1189833,2021-04-22,West,California,Los Angeles,Womens Athletic Footwear,45,6250,281250,98438,Outlet
Kohls,1189833,2021-04-23,West,California,Los Angeles,Mens Apparel,50,5000,250000,137500,Outlet
Kohls,1189833,2021-04-24,West,California,Los Angeles,Womens Apparel,65,8000,520000,104000,Outlet
Kohls,1189833,2021-04-25,West,California,Los Angeles,Mens Street Footwear,45,9500,427500,171000,Outlet
Kohls,1189833,2021-04-26,West,California,Los Angeles,Mens Athletic Footwear,50,8000,400000,100000,Outlet
Kohls,1189833,2021-04-27,West,California,Los Angeles,Womens Street Footwear,50,7500,375000,150000,Outlet
Kohls,1189833,2021-04-28,West,California,Los Angeles,Womens Athletic Footwear,45,6500,292500,102375,Outlet
Kohls,1189833,2021-04-29,West,California,Los Angeles,Mens Apparel,50,7000,350000,192500,Outlet
Kohls,1189833,2021-04-30,West,California,Los Angeles,Womens Apparel,65,7000,455000,91000,Outlet
Kohls,1189833,2021-05-01,West,California,Los Angeles,Mens Street Footwear,50,9000,450000,180000,Outlet
Kohls,1189833,2021-05-02,West,California,Los Angeles,Mens Athletic Footwear,55,8500,467500,116875,Outlet
Kohls,1189833,2021-05-03,West,California,Los Angeles,Womens Street Footwear,50,7250,362500,145000,Outlet
Kohls,1189833,2021-05-04,West,California,Los Angeles,Womens Athletic Footwear,50,6750,337500,118125,Outlet
Kohls,1189833,2021-05-05,West,California,Los Angeles,Mens Apparel,60,6750,405000,222750,Outlet
Kohls,1189833,2021-05-06,West,California,Los Angeles,Womens Apparel,65,6500,422500,84500,Outlet
Kohls,1189833,2021-05-07,West,California,Los Angeles,Mens Street Footwear,50,8500,425000,170000,Outlet
